k      Energy                Energy change         Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  0.019299632194622329  N\A                   22.48821303964208340  N\A                   N\A                   N\A    N\A  
    1  -18.3241381886853176  -18.3434378208799415  19.32216474868032207  0.999999999999999888  0.044467739532581186      1      1
    2  -35.6376317985850903  -17.3134936098997727  9.674954378170866675  2.540879952973186917  1.000000000000000000      1      1
    3  -42.6856135571551789  -7.04798175857008857  4.518595550071171196  1.413080334925829628  1.000000000000000000      1      1
    4  -46.5244066530912547  -3.83879309593607587  4.581162822685342028  1.161631112787095299  1.000000000000000000      1      1
    5  -52.2985478414525744  -5.77414118836131962  4.230071539014121917  4.225425845973922456  1.000000000000000000      1      1
    6  -54.9107864744596270  -2.61223863300705261  2.026828681656351882  2.222244401161615812  1.000000000000000000      1      1
    7  -55.7874495804217360  -0.87666310596210905  1.242463396725284940  0.653285774995956525  1.000000000000000000      1      1
    8  -56.4617620872044767  -0.67431250678274068  0.777681765476176956  1.083717264401569568  1.000000000000000000      1      1
    9  -56.7378891601202752  -0.27612707291579852  0.713745260409187509  0.731597344040690544  1.000000000000000000      1      1
   10  -56.9771236993518428  -0.23923453923156756  0.573974855327016197  0.965761351442310900  1.000000000000000000      1      1
   11  -57.1250744640550749  -0.14795076470323209  0.448388245687281916  0.594550067198180598  1.000000000000000000      1      1
   12  -57.2210690023834160  -0.09599453832834115  0.380639110017698567  0.611342844948961072  1.000000000000000000      1      1
   13  -57.2683024494584174  -0.04723344707500132  0.248433834559641630  0.243242426332355571  1.000000000000000000      1      1
   14  -57.3128797576330555  -0.04457730817463811  0.248282071096003087  0.345319022049422164  1.000000000000000000      1      1
   15  -57.3698168273732278  -0.05693706974017231  0.268457457364941864  0.686937618965409280  1.000000000000000000      1      1
   16  -57.4203329923898806  -0.05051616501665279  0.322017690326020622  0.601945966340471594  1.000000000000000000      1      1
   17  -57.4837454588739689  -0.06341246648408827  0.253790238866240025  0.783966691693651185  1.000000000000000000      1      1
   18  -57.5368688620574175  -0.05312340318344865  0.236154276275378383  0.644716598783986794  1.000000000000000000      1      1
   19  -57.5754938354815237  -0.03862497342410620  0.342364301019435879  0.945138948839073900  1.000000000000000000      1      1
   20  -57.6097680112048493  -0.03427417572332558  0.173306162068316532  0.274358221733846663  1.000000000000000000      1      1
   21  -57.6253295142903425  -0.01556150308549320  0.137466223923311814  0.188534605080246941  1.000000000000000000      1      1
   22  -57.6586694831426100  -0.03333996885226753  0.159410831368008598  0.721053140589758556  1.000000000000000000      1      1
   23  -57.6864082229699661  -0.02773873982735608  0.170922355247446894  0.794785264447015693  1.000000000000000000      1      1
   24  -57.7087587619460435  -0.02235053897607741  0.166338434520476113  1.253128277053685346  1.000000000000000000      1      1
   25  -57.7228984174027672  -0.01413965545672368  0.096716133566236650  0.240903140561187251  1.000000000000000000      1      1
   26  -57.7321575068270504  -0.00925908942428321  0.088822836269118812  0.251877625692142781  1.000000000000000000      1      1
   27  -57.7446641861430407  -0.01250667931599025  0.103012374499786257  0.459667207672356137  1.000000000000000000      1      1
   28  -57.7544534167133321  -0.00978923057029135  0.195884799915641838  0.830217517071108690  1.000000000000000000      1      1
   29  -57.7673845767165801  -0.01293116000324801  0.083058380275644563  0.489957037730195998  1.000000000000000000      1      1
   30  -57.7729352549956018  -0.00555067827902178  0.060174823872700601  0.169231392208756409  1.000000000000000000      1      1
   31  -57.7785489695823244  -0.00561371458672255  0.063738468536529202  0.250084706682204949  1.000000000000000000      1      1
   32  -57.7843722136346542  -0.00582324405232981  0.086989233217656239  0.388152070157781137  1.000000000000000000      1      1
   33  -57.7910848501854914  -0.00671263655083720  0.072642196842245154  0.525000131688156845  1.000000000000000000      1      1
   34  -57.7957898253031601  -0.00470497511766865  0.053609389197591852  0.334881311010227389  1.000000000000000000      1      1
   35  -57.7988815152282171  -0.00309168992505703  0.044611227726619968  0.184102406768754556  1.000000000000000000      1      1
   36  -57.8011352808907190  -0.00225376566250190  0.039483044765620263  0.141696904506325688  1.000000000000000000      1      1
   37  -57.8036905523868256  -0.00255527149610657  0.061905308510415618  0.275361856097865564  1.000000000000000000      1      1
   38  -57.8059550607681416  -0.00226450838131597  0.038330196665393050  0.178557705111654474  1.000000000000000000      1      1
   39  -57.8073479270246366  -0.00139286625649504  0.032235223760988855  0.093685205871461077  1.000000000000000000      1      1
   40  -57.8092716708588199  -0.00192374383418325  0.032058775283554254  0.199625389760372751  1.000000000000000000      1      1
   41  -57.8096554359375005  -0.00038376507868065  0.052059770086328650  0.194286068545147683  1.000000000000000000      1      1
   42  -57.8106302842586998  -0.00097484832119931  0.020320665790626007  0.059879288050929686  1.000000000000000000      1      1
   43  -57.8110811005207807  -0.00045081626208087  0.016181581453571174  0.053878060927465616  1.000000000000000000      1      1
