k      Energy                Energy change         Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  -1.86314972652286248  N\A                   20.06215778119754844  N\A                   N\A                   N\A    N\A  
    1  -20.7207785962465074  -18.8576288697236442  20.06215778119754844  1.000000000000000000  0.049845086999425844      1      1
    2  -62.2006961505783948  -41.4799175543318909  20.64162854369336130  10.13476975950405112  1.000000000000000000      1      1
    3  -83.1769561838166566  -20.9762600332382618  10.98489527353721051  4.786854066194273116  1.000000000000000000      1      1
    4  -87.4851236052744525  -4.30816742145779585  4.688867535874947201  2.195181231833422508  1.000000000000000000      1      1
    5  -88.2774844963457496  -0.79236089107129714  1.699854108040159461  0.759036528214674266  1.000000000000000000      1      1
    6  -88.7842686682248540  -0.50678417187910440  0.904242125025294107  0.810145762332859731  1.000000000000000000      1      1
    7  -89.4170154758080002  -0.63274680758314616  0.799527611718261477  1.738343218335430151  1.000000000000000000      1      1
    8  -89.4963003555564711  -0.07928487974847087  0.863805298028344936  1.684702908817840238  1.000000000000000000      1      1
    9  -89.8144123986101590  -0.31811204305368789  1.274596872525077362  0.623793841038108420  1.000000000000000000      1      1
   10  -89.8987910647727375  -0.08437866616257849  0.398919669934827136  0.292681196590731107  1.000000000000000000      1      1
   11  -90.0137507666370026  -0.11495970186426518  0.296093338327388933  0.721462173460387989  1.000000000000000000      1      1
   12  -90.1038508955929842  -0.09010012895598151  0.339661186666282755  0.678354831060345109  1.000000000000000000      1      1
   13  -90.1683871170024531  -0.06453622140946890  0.349491148586602518  1.116702303721866185  1.000000000000000000      1      1
   14  -90.2507996512708530  -0.08241253426839989  0.432239002388216775  0.373463921126994780  1.000000000000000000      1      1
   15  -90.2974718009699017  -0.04667214969904875  0.240789126278916465  0.355562954830628996  1.000000000000000000      1      1
   16  -90.3432596431218541  -0.04578784215195241  0.192302402560546620  0.851744837229377105  1.000000000000000000      1      1
   17  -90.3721860197930482  -0.02892637667119402  0.256823562166589802  0.412738221946651273  1.000000000000000000      1      1
   18  -90.3953731123289117  -0.02318709253586348  0.224188637070917434  0.181429436905293284  1.000000000000000000      1      1
   19  -90.4421242767187294  -0.04675116438981774  0.156102061275175951  1.050015655641304057  1.000000000000000000      1      1
   20  -90.4615090994480084  -0.01938482272927899  0.135291261907680204  0.735556461459749955  1.000000000000000000      1      1
   21  -90.4776540468406551  -0.01614494739264671  0.188624619677955462  0.425193511524260936  1.000000000000000000      1      1
   22  -90.4858089200428992  -0.00815487320224406  0.094443013499297595  0.307007927299022154  1.000000000000000000      1      1
   23  -90.4939215682020687  -0.00811264815916956  0.076053749064331821  0.309903633532113031  1.000000000000000000      1      1
   24  -90.5042090433850461  -0.01028747518297734  0.082966344143689765  0.718965887743050036  1.000000000000000000      1      1
   25  -90.5146906611595625  -0.01048161777451639  0.143359426447477428  0.412212612758170671  1.000000000000000000      1      1
   26  -90.5197170475940993  -0.00502638643453678  0.066597855932214206  0.209932437215096634  1.000000000000000000      1      1
   27  -90.5239402740420331  -0.00422322644793382  0.049471897081331539  0.281319214371449355  1.000000000000000000      1      1
   28  -90.5266366994809601  -0.00269642543892700  0.053829045242340084  0.423123218261014510  1.000000000000000000      1      1
   29  -90.5302601526674948  -0.00362345318653467  0.100558991675089928  0.095087872002818540  1.000000000000000000      1      1
   30  -90.5324489562065792  -0.00218880353908446  0.042679018409615201  0.111692708673322663  1.000000000000000000      1      1
   31  -90.5346877163494809  -0.00223876014290169  0.037899818719218589  0.175450293533092466  1.000000000000000000      1      1
   32  -90.5380537644583540  -0.00336604810887308  0.045058427156732500  0.390498760683636481  1.000000000000000000      1      1
   33  -90.5399081144665132  -0.00185435000815914  0.062256549312807538  0.526554105078192002  1.000000000000000000      1      1
   34  -90.5416338549613897  -0.00172574049487650  0.062998153324543906  0.076430400095403389  1.000000000000000000      1      1
   35  -90.5425597040355967  -0.00092584907420700  0.025406669425504048  0.081099291728859601  1.000000000000000000      1      1
   36  -90.5436588935415613  -0.00109918950596465  0.025755428727849270  0.151038417174098771  1.000000000000000000      1      1
   37  -90.5455419198795254  -0.00188302633796411  0.032631934065406986  0.404333670591823790  1.000000000000000000      1      1
   38  -90.5474067524554016  -0.00186483257587610  0.052981350754149406  0.441537119609353934  1.000000000000000000      1      1
