k      Energy                Energy change         Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  -16.0140418205673249  N\A                   33.29277876151441262  N\A                   N\A                   N\A    N\A  
    1  -43.9127588072176706  -27.8987169866503457  25.97857656629332723  0.999999999999999888  0.030036543574908022      1      1
    2  -110.959972552194884  -67.0472137449772134  24.98845870065047591  3.849212506523519206  1.000000000000000000      1      1
    3  -157.434716402351796  -46.4747438501569121  7.412043861929208610  7.768098470242422948  1.000000000000000000      1      1
    4  -167.333713725821780  -9.89899732346998462  4.513495877753107343  2.110314384307439894  1.000000000000000000      1      1
    5  -171.773640962276715  -4.43992723645493470  2.470290407439686308  2.916853541981984321  1.000000000000000000      1      1
    6  -173.094328899591687  -1.32068793731497180  1.257796561507517729  0.923995345626022479  1.000000000000000000      1      1
    7  -173.801069934232771  -0.70674103464108384  0.974782236327286222  0.920758410472845123  1.000000000000000000      1      1
    8  -174.455101332209039  -0.65403139797626863  1.051890775453416360  1.362205978522912808  1.000000000000000000      1      1
    9  -174.996597878045093  -0.54149654583605411  1.338117668697172524  2.042954607210222928  1.000000000000000000      1      1
   10  -175.478947075152916  -0.48234919710782264  0.768248384856302646  0.884199219245206946  1.000000000000000000      1      1
   11  -175.778032494280125  -0.29908541912720920  0.654247086791962417  0.704619938873320750  1.000000000000000000      1      1
   12  -176.052061476935051  -0.27402898265492581  0.673653655894716374  1.032498070468624851  1.000000000000000000      1      1
   13  -176.256907704093407  -0.20484622715835598  0.899744062196288885  1.665788914767921458  1.000000000000000000      1      1
   14  -176.471234970078199  -0.21432726598479234  0.459305453698006627  0.557271298158700356  1.000000000000000000      1      1
   15  -176.604864176870023  -0.13362920679182366  0.386820344389165238  0.515366154319451985  1.000000000000000000      1      1
   16  -176.768919351375416  -0.16405517450539264  0.566716736512734797  1.391220983439762637  1.000000000000000000      1      1
   17  -176.876300375648497  -0.10738102427308149  0.633199310791352942  0.932327130500318013  1.000000000000000000      1      1
   18  -176.993298063133494  -0.11699768748499650  0.420236565868190803  0.366530670368509559  1.000000000000000000      1      1
   19  -177.178401190032616  -0.18510312689912211  0.418703376467072563  1.608471555437339217  1.000000000000000000      1      1
   20  -177.301484601961959  -0.12308341192934335  0.430882849963590719  1.135096653587877701  1.000000000000000000      1      1
   21  -177.418003695923573  -0.11651909396161386  0.380067526473941486  1.571424662359826252  1.000000000000000000      1      1
   22  -177.501469567556000  -0.08346587163242702  0.266922581496806088  1.025538655250062491  1.000000000000000000      1      1
   23  -177.552874844753489  -0.05140527719748888  0.218474872025252425  0.443337946930310644  1.000000000000000000      1      1
   24  -177.597428547756067  -0.04455370300257754  0.232284640546853854  0.706772796865479446  1.000000000000000000      1      1
   25  -177.641277464938582  -0.04384891718251537  0.214120158737909627  0.817196841437363707  1.000000000000000000      1      1
   26  -177.680548947608400  -0.03927148266981816  0.178652251137708273  0.714972889488438512  1.000000000000000000      1      1
   27  -177.726281163213911  -0.04573221560551132  0.177191778341058148  1.239435347954018773  1.000000000000000000      1      1
   28  -177.752310785225347  -0.02602962201143554  0.276291891985862292  1.261007512723273160  1.000000000000000000      1      1
   29  -177.779270221438878  -0.02695943621353080  0.135135912334086977  0.244964074421890332  1.000000000000000000      1      1
   30  -177.798163067837180  -0.01889284639830179  0.116352388542698137  0.300938507010925060  1.000000000000000000      1      1
   31  -177.816298187813544  -0.01813511997636396  0.127423394792246152  0.503019511395749407  1.000000000000000000      1      1
   32  -177.824019772258907  -0.00772158444536330  0.281866708082809169  0.966923482248233434  1.000000000000000000      1      1
   33  -177.845021694248885  -0.02100192198997774  0.093582905121216572  0.250320410297578954  1.000000000000000000      1      1
   34  -177.851986944986691  -0.00696525073780662  0.070489418373735790  0.120167823399031495  1.000000000000000000      1      1
   35  -177.860989463884749  -0.00900251889805758  0.092524158771865760  0.370259286986309055  1.000000000000000000      1      1
   36  -177.872867237562587  -0.01187777367783837  0.109702340603232639  0.532734175993432423  1.000000000000000000      1      1
   37  -177.881132024973055  -0.00826478741046798  0.148767271698636655  1.026802265954513293  1.000000000000000000      1      1
   38  -177.890161020469122  -0.00902899549606672  0.057666358289614583  0.181907820638226469  1.000000000000000000      1      1
   39  -177.894186368415944  -0.00402534794682196  0.055940555656440682  0.135017883920181797  1.000000000000000000      1      1
   40  -177.898669516826942  -0.00448314841099772  0.066936686579262827  0.286158430268328156  1.000000000000000000      1      1
   41  -177.902877043717467  -0.00420752689052505  0.114930468761078194  0.587679422161995757  1.000000000000000000      1      1
   42  -177.908042838774377  -0.00516579505691083  0.052702262002927456  0.215790473642495622  1.000000000000000000      1      1
